2023-12-04 15:40:55,340 - __main__ - INFO - This is an info message
2023-12-04 15:40:55,340 - __main__ - WARNING - This is a warning message
2023-12-04 15:40:55,340 - __main__ - ERROR - This is an error message
2023-12-04 15:40:55,340 - __main__ - CRITICAL - This is a critical message
2023-12-04 19:14:23,918 - template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-04 19:14:23,919 - template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 15:55:44,343 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 15:55:44,344 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 15:59:01,884 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 15:59:01,885 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:42:49,745 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:42:50,454 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:43:07,707 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:43:08,413 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:45:40,659 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:45:41,353 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:47:12,476 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:47:13,146 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:47:13,813 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-8.73), Median(-7.00), Q9(-1.00),Max(-1.00), Cnt(2753)
2023-12-05 20:47:13,815 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-8.76), Median(-6.00), Q9(-1.00),Max(-1.00), Cnt(2753)
2023-12-05 20:47:13,817 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-9.30), Median(-7.00), Q9(-1.00),Max(-1.00), Cnt(2759)
2023-12-05 20:47:13,818 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-8.38), Median(-5.00), Q9(-1.00),Max(-1.00), Cnt(2763)
2023-12-05 20:47:13,820 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-8.61), Median(-5.00), Q9(-1.00),Max(-1.00), Cnt(2763)
2023-12-05 20:47:13,821 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-8.51), Median(-5.00), Q9(-1.00),Max(-1.00), Cnt(2763)
2023-12-05 20:47:13,822 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-8.97), Median(-6.00), Q9(-1.00),Max(-1.00), Cnt(2763)
2023-12-05 20:47:13,824 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-9.26), Median(-7.00), Q9(-1.00),Max(-1.00), Cnt(2763)
2023-12-05 20:47:13,825 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-9.26), Median(-7.00), Q9(-1.00),Max(-1.00), Cnt(2763)
2023-12-05 20:47:13,826 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-9.41), Median(-8.00), Q9(-1.00),Max(-1.00), Cnt(2763)
2023-12-05 20:47:13,828 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-9.60), Median(-8.00), Q9(-1.00),Max(-1.00), Cnt(2763)
